RANK,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Stephen Curry,GSW,33,49,27,22,1664,1521,500,1018,49.1,250,586,42.7,271,294,92.2,24,248,272,288,157,60,6,90,2320.4,8,0,143
2,Damian Lillard,POR,30,52,29,23,1867,1492,460,1046,44,212,560,37.9,360,389,92.5,26,192,218,398,165,46,14,85,2365.6,14,0,65
3,Bradley Beal,WAS,27,47,22,25,1664,1462,514,1065,48.3,103,305,33.8,331,369,89.7,55,169,224,224,156,54,16,113,2120.8,3,0,-102
4,Luka Doncic,DAL,22,51,29,22,1790,1459,519,1068,48.6,152,423,35.9,269,370,72.7,40,364,404,443,218,49,34,117,2639.3,20,9,93
4,Nikola Jokic,DEN,26,56,36,20,1972,1459,573,1011,56.7,78,185,42.2,235,275,85.5,164,451,615,493,171,82,36,150,3119.5,50,15,333
6,Zach LaVine,CHI,26,53,22,31,1867,1458,521,1030,50.6,182,437,41.6,234,276,84.8,32,238,270,269,193,43,27,124,2202.5,3,0,-32
7,De'Aaron Fox,SAC,23,56,23,33,1969,1417,516,1073,48.1,100,310,32.3,285,400,71.3,31,163,194,404,169,83,26,164,2413.8,11,0,-187
8,Donovan Mitchell,UTA,24,53,39,14,1771,1401,478,1091,43.8,178,461,38.6,267,316,84.5,50,185,235,277,147,52,15,117,2152.5,2,0,287
9,Zion Williamson,NOP,20,52,24,28,1719,1395,536,873,61.4,9,30,30,314,449,69.9,135,238,373,191,137,48,36,120,2244.1,12,0,8
10,Nikola Vucevic,CHI,30,57,19,38,1917,1376,555,1144,48.5,149,357,41.7,117,140,83.6,115,531,646,214,98,56,40,110,2662.2,37,1,-357
11,Julius Randle,NYK,26,57,30,27,2131,1353,481,1043,46.1,120,296,40.5,271,338,80.2,73,526,599,346,198,55,15,181,2602.8,35,5,118
12,Giannis Antetokounmpo,MIL,26,47,30,17,1583,1337,485,859,56.5,52,174,29.9,315,461,68.3,83,445,528,287,174,54,60,129,2569.1,33,7,339
